Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - ELO4934220.1	superfamily	440501	33	451	9.34066e-18	84.9056	cl43255	FucP superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340915	76	458	1.25176e-17	85.0057	cd17357	MFS_GLUT_Class1_2_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340999	41	420	1.22308e-15	78.3158	cd17441	MFS_SVOP	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340930	41	451	1.33627e-15	77.9602	cd17372	MFS_SVOP_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340886	38	424	1.34191e-15	78.4316	cd17328	MFS_spinster_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340877	55	450	1.46029e-15	77.9959	cd17319	MFS_ExuT_GudP_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340920	55	463	3.28264e-15	77.0075	cd17362	MFS_GLUT10_12_Class3_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340991	84	462	3.97506e-15	76.8393	cd17433	MFS_GLUT8_Class3	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341027	41	451	8.00515e-15	75.6847	cd17474	MFS_YfmO_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340918	77	454	1.75844e-13	71.5324	cd17360	MFS_HMIT_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340995	87	463	2.82206e-13	71.2782	cd17437	MFS_PLT	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	237051	45	443	4.89836e-13	70.7276	PRK12307	PRK12307	 - 	cl36103
Q#1 - ELO4934220.1	superfamily	237051	45	443	4.89836e-13	70.7276	cl36103	PRK12307 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	442057	53	452	9.21828e-13	69.5168	COG2807	CynX	 - 	cl34489
Q#1 - ELO4934220.1	superfamily	442057	53	452	9.21828e-13	69.5168	cl34489	CynX superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340879	43	208	1.03675e-12	69.1242	cd17321	MFS_MMR_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340925	49	456	2.10432e-12	68.4754	cd17367	MFS_KgtP	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341026	53	452	2.56342e-12	67.9835	cd17473	MFS_arabinose_efflux_permease_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340887	39	451	3.9909e-12	67.6375	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340878	41	447	8.68688e-12	66.4453	cd17320	MFS_MdfA_MDR_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340927	80	450	1.85212e-11	65.6259	cd17369	MFS_ShiA_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340883	41	212	3.10497e-11	64.9048	cd17325	MFS_MdtG_SLC18_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	340993	41	222	8.05911e-11	63.6631	cd17435	MFS_GLUT12_Class3	C	cl28910
Q#1 - ELO4934220.1	non-specific	273318	76	215	1.58344e-10	58.8154	TIGR00880	2_A_01_02	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340881	41	208	1.92437e-10	62.2075	cd17323	MFS_Tpo1_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340928	34	208	3.06658e-10	61.7903	cd17370	MFS_MJ1317_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	340919	77	451	4.93649e-10	61.112	cd17361	MFS_STP	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340933	85	448	7.45222e-10	60.1491	cd17375	MFS_SLC22A16_CT2	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341047	60	206	1.90479e-09	59.1282	cd17504	MFS_MMR_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	341031	61	449	3.11169e-09	58.3364	cd17478	MFS_FsR	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	441813	48	456	3.57069e-09	58.7602	COG2211	MelB	 - 	cl43646
Q#1 - ELO4934220.1	superfamily	441813	48	456	3.57069e-09	58.7602	cl43646	MelB superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340926	89	408	3.72658e-09	58.5393	cd17368	MFS_CitA	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	442063	17	175	4.34249e-09	58.0617	COG2814	AraJ	N	cl43718
Q#1 - ELO4934220.1	non-specific	340863	59	451	8.42238e-09	57.2402	cd06173	MFS_MefA_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341005	64	450	1.03071e-08	56.6623	cd17447	MFS_SLC22A7_OAT2	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340885	77	362	2.76603e-08	55.7178	cd17327	MFS_FEN2_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	341046	43	206	3.77675e-08	55.2747	cd17503	MFS_LmrB_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340937	84	450	4.51676e-08	54.6644	cd17379	MFS_SLC22A1_2_3	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340932	85	451	5.86106e-08	54.2189	cd17374	MFS_OAT	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341025	69	450	1.00106e-07	53.759	cd17472	MFS_YajR_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340949	63	197	1.00384e-07	53.8074	cd17391	MFS_MdtG_MDR_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	340888	61	219	1.01162e-07	53.7362	cd17330	MFS_SLC46_TetA_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340882	17	206	1.30272e-07	53.322	cd17324	MFS_NepI_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	340893	56	452	2.27775e-07	52.5861	cd17335	MFS_MFSD6	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340994	52	463	2.49317e-07	52.4963	cd17436	MFS_GLUT10_Class3	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341027	16	206	3.07048e-07	52.1875	cd17474	MFS_YfmO_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	341030	67	448	3.15593e-07	52.1755	cd17477	MFS_YcaD_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	273319	58	429	6.43577e-07	51.2225	TIGR00881	2A0104	 - 	cl36756
Q#1 - ELO4934220.1	superfamily	273319	58	429	6.43577e-07	51.2225	cl36756	2A0104 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340863	11	198	8.35934e-07	51.077	cd06173	MFS_MefA_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	341045	43	208	1.54618e-06	49.8694	cd17502	MFS_Azr1_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	129794	45	211	2.35704e-06	49.6849	TIGR00711	efflux_EmrB	C	cl31024
Q#1 - ELO4934220.1	superfamily	129794	45	211	2.35704e-06	49.6849	cl31024	efflux_EmrB superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	442063	311	451	2.90753e-06	49.2021	COG2814	AraJ	C	cl43718
Q#1 - ELO4934220.1	non-specific	340989	62	458	4.0216e-06	48.871	cd17431	MFS_GLUT_Class1	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	429598	311	462	6.45439e-06	48.1831	pfam07690	MFS_1	C	cl28910
Q#1 - ELO4934220.1	non-specific	340924	49	455	7.61077e-06	48.1229	cd17366	MFS_ProP	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	399632	61	217	1.95164e-05	46.5947	pfam06779	MFS_4	C	cl27910
Q#1 - ELO4934220.1	superfamily	399632	61	217	1.95164e-05	46.5947	cl27910	MFS_4 superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	441813	30	190	1.98265e-05	46.819	COG2211	MelB	N	cl43646
Q#1 - ELO4934220.1	non-specific	341000	38	426	2.50798e-05	46.3383	cd17442	MFS_SVOPL	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340938	55	218	2.8696e-05	46.0085	cd17380	MFS_SLC17A9_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340891	61	216	3.30254e-05	45.7753	cd17333	MFS_FucP_MFSD4_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340990	77	462	4.59059e-05	45.6848	cd17432	MFS_GLUT_Class2	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	341024	34	210	6.99742e-05	44.8456	cd17471	MFS_Set	N	cl28910
Q#1 - ELO4934220.1	non-specific	340877	311	451	7.70166e-05	44.8688	cd17319	MFS_ExuT_GudP_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340992	123	462	8.39422e-05	44.8237	cd17434	MFS_GLUT6_Class3	N	cl28910
Q#1 - ELO4934220.1	non-specific	341024	55	449	9.19185e-05	44.4604	cd17471	MFS_Set	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340928	41	447	9.29943e-05	44.4563	cd17370	MFS_MJ1317_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340894	41	221	0.000101425	44.5374	cd17336	MFS_SLCO_OATP	C	cl28910
Q#1 - ELO4934220.1	non-specific	340946	42	185	0.000121937	44.1638	cd17388	MFS_TetA	C	cl28910
Q#1 - ELO4934220.1	non-specific	340936	66	446	0.000126165	43.8869	cd17378	MFS_OCT_plant	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340869	38	217	0.000179026	43.4469	cd06180	MFS_YjiJ	C	cl28910
Q#1 - ELO4934220.1	non-specific	341026	16	190	0.000188447	43.7159	cd17473	MFS_arabinose_efflux_permease_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	340934	75	421	0.000190421	43.6083	cd17376	MFS_SLC22A4_5_OCTN1_2	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340903	39	449	0.000372998	42.6139	cd17345	MFS_GlpT	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	182127	61	450	0.000403857	42.5998	PRK09874	PRK09874	 - 	cl27912
Q#1 - ELO4934220.1	superfamily	182127	61	450	0.000403857	42.5998	cl27912	PRK09874 superfamily	 - 	 - 
Q#1 - ELO4934220.1	non-specific	340899	61	366	0.000441831	42.2385	cd17341	MFS_NRT2_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	341028	56	449	0.000874598	41.4549	cd17475	MFS_MT3072_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	182924	79	216	0.0012006	41.0311	PRK11043	PRK11043	C	cl32630
Q#1 - ELO4934220.1	superfamily	182924	79	216	0.0012006	41.0311	cl32630	PRK11043 superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	340935	75	213	0.00146024	40.5322	cd17377	MFS_SLC22A15	C	cl28910
Q#1 - ELO4934220.1	non-specific	341043	55	448	0.00202949	40.2819	cd17490	MFS_YxlH_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	340871	323	447	0.00218807	40.3028	cd17313	MFS_SLC45_SUC	N	cl28910
Q#1 - ELO4934220.1	non-specific	349949	323	465	0.00301084	39.7174	cd06174	MFS	C	cl28910
Q#1 - ELO4934220.1	non-specific	182611	89	161	0.00310126	40.0796	PRK10642	PRK10642	C	cl28910
Q#1 - ELO4934220.1	non-specific	341004	326	419	0.003745	39.3221	cd17446	MFS_SLC22A6_OAT1_like	N	cl28910
Q#1 - ELO4934220.1	non-specific	341029	60	212	0.00479194	39.1677	cd17476	MFS_Amf1_MDR_like	C	cl28910
Q#1 - ELO4934220.1	non-specific	340954	45	447	0.00542607	38.8678	cd17396	MFS_YdiM_like	 - 	cl28910
Q#1 - ELO4934220.1	non-specific	237958	70	217	0.0061186	39.0391	PRK15403	PRK15403	C	cl30558
Q#1 - ELO4934220.1	superfamily	237958	70	217	0.0061186	39.0391	cl30558	PRK15403 superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	182964	60	215	0.00735494	38.3571	PRK11102	PRK11102	C	cl32640
Q#1 - ELO4934220.1	superfamily	182964	60	215	0.00735494	38.3571	cl32640	PRK11102 superfamily	C	 - 
Q#1 - ELO4934220.1	non-specific	341024	318	451	0.00851256	38.2972	cd17471	MFS_Set	C	cl28910
Q#1 - ELO4934220.1	non-specific	185300	60	214	0.00865083	38.3812	PRK15402	PRK15402	C	cl33139
Q#1 - ELO4934220.1	superfamily	185300	60	214	0.00865083	38.3812	cl33139	PRK15402 superfamily	C	 - 
Q#2 - HCO7841298.1	specific	340874	41	450	5.97058e-59	197.439	cd17316	MFS_SV2_like	 - 	cl28910
Q#2 - HCO7841298.1	superfamily	475125	41	450	5.97058e-59	197.439	cl28910	MFS superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	273327	31	425	5.67825e-56	191.031	TIGR00895	2A0115	 - 	cl36764
Q#2 - HCO7841298.1	superfamily	273327	31	425	5.67825e-56	191.031	cl36764	2A0115 superfamily	 - 	 - 
Q#2 - HCO7841298.1	specific	441872	31	456	3.34934e-44	158.495	COG2271	UhpC	 - 	cl34453
Q#2 - HCO7841298.1	superfamily	441872	31	456	3.34934e-44	158.495	cl34453	UhpC superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	395036	75	465	4.50173e-42	155.122	pfam00083	Sugar_tr	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	273328	61	462	4.08623e-41	153.248	TIGR00898	2A0119	N	cl36765
Q#2 - HCO7841298.1	superfamily	273328	61	462	4.08623e-41	153.248	cl36765	2A0119 superfamily	N	 - 
Q#2 - HCO7841298.1	non-specific	340929	49	455	1.90347e-40	148.989	cd17371	MFS_MucK	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340923	41	450	8.12465e-40	146.576	cd17365	MFS_PcaK_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	273317	51	463	1.34367e-31	126.3	TIGR00879	SP	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	442063	33	416	1.80872e-31	123.546	COG2814	AraJ	 - 	cl43718
Q#2 - HCO7841298.1	superfamily	442063	33	416	1.80872e-31	123.546	cl43718	AraJ superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340916	60	462	4.48268e-30	121.528	cd17358	MFS_GLUT6_8_Class3_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340883	43	452	1.32287e-29	118.833	cd17325	MFS_MdtG_SLC18_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340917	57	454	2.59455e-29	118.439	cd17359	MFS_XylE_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	440245	25	235	1.42776e-28	114.523	COG0477	ProP	C	cl43153
Q#2 - HCO7841298.1	superfamily	440245	25	235	1.42776e-28	114.523	cl43153	ProP superfamily	C	 - 
Q#2 - HCO7841298.1	non-specific	441825	41	459	6.78183e-27	111.511	COG2223	NarK	 - 	cl43649
Q#2 - HCO7841298.1	superfamily	441825	41	459	6.78183e-27	111.511	cl43649	NarK superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340875	64	451	8.55881e-27	109.978	cd17317	MFS_SLC22	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	429598	43	418	1.20049e-25	107.119	pfam07690	MFS_1	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	349949	43	449	3.76662e-25	106.357	cd06174	MFS	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340996	41	304	7.54219e-24	103.849	cd17438	MFS_SV2B	C	cl28910
Q#2 - HCO7841298.1	non-specific	236927	56	426	1.31138e-23	102.348	PRK11551	PRK11551	 - 	cl36029
Q#2 - HCO7841298.1	superfamily	236927	56	426	1.31138e-23	102.348	cl36029	PRK11551 superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340997	42	304	3.12853e-23	102.031	cd17439	MFS_SV2A	C	cl28910
Q#2 - HCO7841298.1	non-specific	340914	69	463	3.86611e-23	100.788	cd17356	MFS_HXT	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	179668	50	444	5.44143e-23	101.313	PRK03893	PRK03893	 - 	cl32048
Q#2 - HCO7841298.1	superfamily	179668	50	444	5.44143e-23	101.313	cl32048	PRK03893 superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	130366	38	304	1.39743e-22	101.207	TIGR01299	synapt_SV2	NC	cl31090
Q#2 - HCO7841298.1	superfamily	130366	38	304	1.39743e-22	101.207	cl31090	synapt_SV2 superfamily	NC	 - 
Q#2 - HCO7841298.1	non-specific	340921	42	313	2.04809e-21	96.404	cd17363	MFS_SV2	C	cl28910
Q#2 - HCO7841298.1	non-specific	340873	69	454	3.30981e-21	94.5633	cd17315	MFS_GLUT_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340915	76	458	1.51072e-19	90.7837	cd17357	MFS_GLUT_Class1_2_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340998	42	445	3.47395e-19	89.972	cd17440	MFS_SV2C	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	129965	41	464	4.83851e-19	89.4023	TIGR00887	2A0109	 - 	cl31035
Q#2 - HCO7841298.1	superfamily	129965	41	464	4.83851e-19	89.4023	cl31035	2A0109 superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340922	41	456	6.26716e-19	88.1035	cd17364	MFS_PhT	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340882	42	448	1.02464e-18	87.2196	cd17324	MFS_NepI_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	341042	43	451	2.42395e-18	86.1087	cd17489	MFS_YfcJ_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	341027	60	451	5.12345e-18	85.3147	cd17474	MFS_YfmO_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340886	37	424	3.57614e-17	83.054	cd17328	MFS_spinster_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340930	41	451	7.97281e-17	81.8122	cd17372	MFS_SVOP_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340999	41	420	8.24984e-17	81.7826	cd17441	MFS_SVOP	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340877	55	450	8.64471e-17	81.4627	cd17319	MFS_ExuT_GudP_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340920	55	463	3.07174e-16	80.0891	cd17362	MFS_GLUT10_12_Class3_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	440501	33	451	1.21729e-15	78.3572	COG0738	FucP	 - 	cl43255
Q#2 - HCO7841298.1	superfamily	440501	33	451	1.21729e-15	78.3572	cl43255	FucP superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340995	52	463	2.34245e-15	77.4414	cd17437	MFS_PLT	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	182225	59	464	3.01368e-15	77.811	PRK10077	xylE	 - 	cl32455
Q#2 - HCO7841298.1	superfamily	182225	59	464	3.01368e-15	77.811	cl32455	xylE superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340991	84	462	1.19479e-14	75.6837	cd17433	MFS_GLUT8_Class3	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340925	78	456	1.9357e-13	71.557	cd17367	MFS_KgtP	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	237051	45	443	4.85476e-13	70.7276	PRK12307	PRK12307	 - 	cl36103
Q#2 - HCO7841298.1	superfamily	237051	45	443	4.85476e-13	70.7276	cl36103	PRK12307 superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340918	77	218	6.8553e-13	69.6064	cd17360	MFS_HMIT_like	C	cl28910
Q#2 - HCO7841298.1	non-specific	340879	43	208	2.90166e-12	67.9686	cd17321	MFS_MMR_MDR_like	C	cl28910
Q#2 - HCO7841298.1	non-specific	340878	60	235	7.52354e-12	66.8305	cd17320	MFS_MdfA_MDR_like	C	cl28910
Q#2 - HCO7841298.1	non-specific	341026	53	452	1.97647e-11	65.2871	cd17473	MFS_arabinose_efflux_permease_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	442057	53	452	2.11979e-11	65.2796	COG2807	CynX	 - 	cl34489
Q#2 - HCO7841298.1	superfamily	442057	53	452	2.11979e-11	65.2796	cl34489	CynX superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340883	9	212	4.10069e-11	64.5196	cd17325	MFS_MdtG_SLC18_like	N	cl28910
Q#2 - HCO7841298.1	non-specific	340887	39	451	7.00375e-11	63.7855	cd17329	MFS_MdtH_MDR_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340881	41	208	1.35738e-10	62.5927	cd17323	MFS_Tpo1_MDR_like	C	cl28910
Q#2 - HCO7841298.1	non-specific	273318	76	215	1.99618e-10	58.8154	TIGR00880	2_A_01_02	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340933	85	448	2.09232e-10	62.0751	cd17375	MFS_SLC22A16_CT2	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340919	77	451	2.59823e-10	61.8824	cd17361	MFS_STP	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	340928	15	208	6.67793e-10	60.6347	cd17370	MFS_MJ1317_like	N	cl28910
Q#2 - HCO7841298.1	non-specific	441813	48	461	9.50153e-10	60.301	COG2211	MelB	 - 	cl43646
Q#2 - HCO7841298.1	superfamily	441813	48	461	9.50153e-10	60.301	cl43646	MelB superfamily	 - 	 - 
Q#2 - HCO7841298.1	non-specific	340993	41	222	9.58765e-10	60.1963	cd17435	MFS_GLUT12_Class3	C	cl28910
Q#2 - HCO7841298.1	non-specific	340927	80	447	9.72121e-10	60.2331	cd17369	MFS_ShiA_like	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	341047	60	206	4.85936e-09	57.9726	cd17504	MFS_MMR_MDR_like	C	cl28910
Q#2 - HCO7841298.1	non-specific	340937	84	450	4.94229e-09	57.746	cd17379	MFS_SLC22A1_2_3	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	341031	61	449	4.99432e-09	57.9512	cd17478	MFS_FsR	 - 	cl28910
Q#2 - HCO7841298.1	non-specific	442063	16	175	5.99475e-09	57.6765	COG2814	AraJ	N	cl43718
Q#2 - HCO7841298.1	non-specific	340882	15	204	1.29205e-08	56.4036	cd17324	MFS_NepI_like	N	cl28910
